"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"OXA",0.263887056339887,2.11747766061068,54.774848702431,0,37.4139953708107,0.735636693558275,29.4094498517722,0,0,9.94377342773844,0.220833425347261,0,0.401587816443477,0,0,0,0,1.88027238540502,0,0.191065764836257,28.2627484874676,54.4170227609662,4.739336492891,0,0,0.98310841004558,0,45.9346235544017,0.624669645860362,0,5.22441225362147
"TEM",1029.71661462228,1139.62647694067,283.105959585598,935.617229534607,329.116332160183,763.885142590913,28.5699294278144,1192.9900209437,1216.5519466552,0.312369845897543,962.281650950688,1168.72693260529,743.925984276292,15.2022924862791,746.067541374683,2.0567418788942,1121.5892386073,267.583087712166,1007.76112014709,1210.66911230846,6.74157303370787,38.458184355106,9.88401097530556,716.523435787258,689.026359593551,765.014746626151,650.877774097383,22.5100306820864,151.554466387968,242.06084832334,0.237473284255521
"ACT",0,0,0,0,0,0,0.131175066243408,0.164264301260729,0,0,0,0,0,0,0,0,0.100686683179283,0,0,0,0,0,0.0935395360439012,0,0,0,0,0,0,0,0
"TET33",0,0,122.448456251923,0.243183268991093,115.539490789182,0,149.434635464491,0,85.3050835305084,45.5539358600583,5.54291897621624,0,3.86142131195651,9.49536160085483,0.820038765468913,12.2799588651624,0,1.93109055798353,0.441977229333145,0,40.8815903197926,177.683788261969,130.20703417311,49.6558074275442,3.42848624878885,0.424524086156046,2.51738986419344,89.155062544253,23.8816010763539,0,33.0384706720494
"cme",1.94983213851138,89.2728581713463,22.0022566417068,0,10.5583563207457,5.90961477158481,19.2302647112837,0,0,24.3127863390254,0,0,2.70299491836955,1.79707610860168,0,3.44806726755792,0,10.5447708100417,2.03309525493247,0,0,58.8645678904683,28.7166375654777,0,3.72661548781397,9.62999374385557,0,13.6299268350248,0,30.2020874972241,0
"MEXB",0,0,0,0,3.13897079805955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953654579734292,0,0,0,0,0,0,0
"VANXA",0,0,0,0,0.285360981641777,0,0.288585145735499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32452206750059,0,0,0
"ANT2-DPRIME",4.76462740613684,0,37.9526105241563,11.5664042313889,55.4868575414566,3.06515288982614,10.9400005247003,0,5.66430056643006,33.0070803831737,0,13.638202133576,0,111.005876924571,0,180.932792934487,0,10.7226344140665,3.907078707305,0,69.2307692307692,17.6593703671405,17.2112746320778,2.85000219230938,5.36632630245211,0,0,33.4552749586972,0,5.77392849211637,46.4853953930183
"TETK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4326763239136
"MSRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8040845404892
"APH6",86.9214642799548,240.926608224283,153.015693917325,104.371219260115,176.860395066426,114.195336063363,154.996458273211,127.222701326434,107.245285724529,220.79341940858,126.515469381446,92.5982102229638,90.5271612375083,133.275049783865,109.512449679439,233.319218438086,123.462010914436,150.752108954162,97.4294604341984,116.473690244182,37.942955920484,256.169878782594,205.568720379147,65.1444731880563,139.22635462473,131.647153454285,188.373633653528,146.064432381402,175.676325020422,581.16811014879,183.121586321539
