Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
SULI,TimePre...TimePost,-0.576787712324622,-1.59247089064331,0.438895465994063,9.0184539393483,-1.11380656705566,0.265516897008441,0.380335014633713,-6.03773206100863
TETW,TimePre...TimePost,-0.716555963328247,-1.73223914164693,0.299127214990438,8.9784887331153,-1.38370620691849,0.166626930213995,0.277282000110617,-5.70624905317371
ANT3-DPRIME,TimePre...TimePost,-0.0913123090157448,-1.10699548733443,0.92437086930294,8.88918346778486,-0.176328738046195,0.860056323770353,0.898186899701058,-6.63249995007935
SULII,TimePre...TimePost,-0.658710407615207,-1.67439358593389,0.356972770703478,8.84091013413827,-1.27200348085225,0.203542833825483,0.312835321841991,-5.85212900713375
FLOR,TimePre...TimePost,-0.800591736441072,-1.81627491475976,0.215091441877612,8.78786127664585,-1.54598358204396,0.122291426686294,0.242297032313032,-5.47245640010101
TETQ,TimePre...TimePost,-1.39488819717451,-2.41057137549319,-0.379205018855822,8.15933528938976,-2.69360043760258,0.0071367695962294,0.0265437746386076,-3.07984916066673
APH3-DPRIME,TimePre...TimePost,-0.849958294984015,-1.8656414733027,0.16572488333467,8.15362215190632,-1.64131293099361,0.100914235366219,0.218304264261617,-5.32303928658777
MDTC,TimePre...TimePost,-0.85832196868595,-1.87400514700464,0.157361209632735,7.86382128072048,-1.657463612596,0.0976070847375117,0.213326824374768,-5.29683966607021
TETA,TimePre...TimePost,-0.319888302964307,-1.33557148128299,0.695794875354378,7.5502399593723,-0.617720670799258,0.53684078369769,0.654081874390289,-6.46014523619699
TETO,TimePre...TimePost,-1.61505248253734,-2.63073566085603,-0.599369304218656,7.44252769235911,-3.11874893093635,0.00184613987902504,0.00850829683376757,-1.8646607947395
APH3-PRIME,TimePre...TimePost,-0.627735298168509,-1.64341847648719,0.387947880150176,7.20553949212929,-1.21218896057069,0.225605573504891,0.338079120577047,-5.92519968019858
TET40,TimePre...TimePost,-1.69550876350179,-2.71119194182047,-0.679825585183103,7.16486983466991,-3.27411412368276,0.00108085902869001,0.00558883205078739,-1.37623299222064
APH6,TimePre...TimePost,-0.817829742965539,-1.83351292128422,0.197853435353146,7.11370992510767,-1.57927105412362,0.114456705351642,0.241206903539778,-5.42129793911983
ERMB,TimePre...TimePost,-0.46783570136186,-1.48351887968054,0.547847476956825,6.92725524999372,-0.9034146625278,0.366431632167552,0.491667759617222,-6.24643751710021
ANT6,TimePre...TimePost,-0.764522912109619,-1.7802060904283,0.251160266209066,6.83935082392644,-1.47633283784825,0.140036548922649,0.258154333666102,-5.57597465435552
ACRF,TimePre...TimePost,-0.719842801729677,-1.73552598004836,0.295840376589008,6.68522372967194,-1.39005325994708,0.164691523983941,0.277282000110617,-5.69759155971742
MDTB,TimePre...TimePost,-0.966595321331801,-1.98227849965049,0.0490878569868838,6.63462153345963,-1.86654499321011,0.062134214685656,0.160639676992184,-4.93451027245464
